order_id,order_date,region,product_category,units_sold,revenue,cost
1017,2023-01-01,North,Electronics,12,692.78,473.72
1043,2023-01-01,North,Home & Garden,5,115.64,75.42
1541,2023-01-01,South,Apparel,9,107.7,66.75
1578,2023-01-02,South,Electronics,11,181.95,123.44
2054,2023-01-02,East,Books,6,22.5,14.93
2063,2023-01-02,East,Sports,1,30.69,22.0
2101,2023-01-02,East,Apparel,1,7.63,4.57
1052,2023-01-03,North,Books,7,62.55,41.14
2590,2023-01-03,West,Apparel,7,168.49,96.94
2604,2023-01-03,West,Books,11,36.15,26.59
1001,2023-01-04,North,Electronics,4,133.98,85.73
1057,2023-01-04,North,Apparel,4,62.11,39.94
1576,2023-01-04,South,Apparel,7,70.27,47.96
2079,2023-01-04,East,Home & Garden,8,238.03,152.08
2094,2023-01-04,East,Electronics,6,420.12,258.76
2596,2023-01-04,West,Electronics,12,285.38,167.83
1558,2023-01-05,South,Sports,7,300.43,170.47
1581,2023-01-05,South,Electronics,10,557.44,365.28
2585,2023-01-05,West,Electronics,12,1428.2,829.48
1533,2023-01-06,South,Books,7,30.37,21.73
1549,2023-01-06,South,Home & Garden,6,31.12,19.03
2578,2023-01-06,West,Apparel,8,213.62,123.29
2064,2023-01-07,East,Home & Garden,3,105.4,59.78
2071,2023-01-07,East,Sports,3,137.28,77.01
2591,2023-01-07,West,Apparel,12,321.1,223.97
1007,2023-01-08,North,Apparel,1,10.67,6.32
1024,2023-01-08,North,Electronics,10,571.3,322.04
2100,2023-01-08,East,Apparel,4,18.96,10.6
2614,2023-01-08,West,Home & Garden,1,41.34,30.75
2622,2023-01-08,West,Electronics,5,365.34,222.29
1025,2023-01-09,North,Apparel,7,124.12,82.76
1028,2023-01-09,North,Apparel,6,69.7,45.71
1051,2023-01-09,North,Sports,7,285.71,211.2
2586,2023-01-09,West,Apparel,8,65.91,37.37
1027,2023-01-10,North,Electronics,8,440.95,273.3
1050,2023-01-10,North,Home & Garden,4,84.86,58.66
1562,2023-01-10,South,Home & Garden,10,51.13,32.04
2086,2023-01-10,East,Sports,6,133.84,100.08
2096,2023-01-10,East,Sports,10,337.18,192.47
2593,2023-01-10,West,Apparel,9,98.24,57.54
1074,2023-01-11,North,Apparel,4,17.19,10.25
2618,2023-01-11,West,Books,9,117.02,82.59
1031,2023-01-12,North,Sports,5,214.37,148.16
1544,2023-01-12,South,Home & Garden,6,36.01,20.77
1546,2023-01-12,South,Sports,12,180.66,118.35
1563,2023-01-12,South,Sports,7,274.5,168.13
2070,2023-01-12,East,Apparel,10,246.65,178.96
1571,2023-01-13,South,Sports,3,104.77,64.48
2597,2023-01-13,West,Sports,9,474.37,294.43
2616,2023-01-13,West,Books,8,60.43,40.41
1568,2023-01-14,South,Home & Garden,9,184.99,122.02
1000,2023-01-15,North,Electronics,12,392.51,249.0
1011,2023-01-15,North,Books,5,9.6,6.66
1556,2023-01-15,South,Home & Garden,1,17.26,10.15
1587,2023-01-15,South,Books,3,9.84,5.88
1590,2023-01-15,South,Electronics,3,140.15,96.24
2075,2023-01-16,East,Books,2,13.76,8.39
1033,2023-01-17,North,Electronics,5,230.48,157.51
1070,2023-01-17,North,Sports,2,38.19,28.19
1527,2023-01-17,South,Apparel,1,12.45,8.56
1524,2023-01-18,South,Books,9,82.55,52.5
2592,2023-01-18,West,Electronics,9,415.41,273.64
1525,2023-01-19,South,Books,3,13.49,9.38
1542,2023-01-19,South,Electronics,11,743.7,433.03
2058,2023-01-19,East,Home & Garden,8,230.58,169.28
2062,2023-01-19,East,Sports,11,427.92,303.8
1049,2023-01-21,North,Sports,8,291.29,176.21
2084,2023-01-21,East,Apparel,2,33.77,24.77
2587,2023-01-21,West,Apparel,2,14.11,9.33
1044,2023-01-22,North,Electronics,5,286.27,170.31
1538,2023-01-22,South,Home & Garden,10,78.99,48.31
2606,2023-01-23,West,Books,8,79.32,44.64
1055,2023-01-24,North,Electronics,5,240.59,172.36
1580,2023-01-24,South,Sports,10,371.44,247.11
1588,2023-01-24,South,Books,1,5.0,3.74
1597,2023-01-24,South,Electronics,12,425.63,299.59
2575,2023-01-24,West,Electronics,12,672.4,459.9
1069,2023-01-25,North,Home & Garden,4,86.28,52.5
1551,2023-01-25,South,Home & Garden,6,97.65,62.7
1560,2023-01-25,South,Home & Garden,5,105.38,78.16
2088,2023-01-25,East,Electronics,10,222.42,156.78
1045,2023-01-26,North,Apparel,1,22.02,14.65
1530,2023-01-26,South,Apparel,2,42.73,31.09
1564,2023-01-26,South,Books,2,17.02,10.96
2098,2023-01-26,East,Books,10,31.07,21.41
2580,2023-01-27,West,Electronics,6,733.28,540.91
1018,2023-01-28,North,Books,3,14.99,8.53
2579,2023-01-28,West,Apparel,6,64.91,47.25
2582,2023-01-28,West,Sports,6,238.01,175.4
2624,2023-01-28,West,Books,10,56.87,41.9
1047,2023-01-29,North,Apparel,12,54.57,37.3
1595,2023-01-29,South,Home & Garden,5,39.08,28.92
1037,2023-01-30,North,Apparel,1,9.53,6.21
2584,2023-01-30,West,Electronics,12,492.08,331.53
2623,2023-01-30,West,Sports,9,383.84,266.61
1014,2023-01-31,North,Books,2,12.84,8.28
1570,2023-01-31,South,Apparel,11,177.18,108.98
2085,2023-01-31,East,Electronics,3,258.56,144.14
2571,2023-01-31,West,Sports,7,425.52,278.46
2577,2023-01-31,West,Books,6,22.99,13.71
2581,2023-01-31,West,Electronics,8,803.18,573.0
2613,2023-01-31,West,Books,12,140.79,100.86
1072,2023-02-01,North,Electronics,9,639.61,408.42
1056,2023-02-02,North,Electronics,8,166.18,113.06
1058,2023-02-02,North,Home & Garden,3,71.31,47.47
1593,2023-02-04,South,Electronics,5,330.1,194.42
2065,2023-02-04,East,Apparel,12,201.16,143.29
2602,2023-02-04,West,Books,4,16.68,11.61
2607,2023-02-04,West,Apparel,3,23.44,15.92
1002,2023-02-05,North,Electronics,3,177.56,101.09
1065,2023-02-05,North,Books,1,5.28,3.41
1582,2023-02-05,South,Sports,9,239.1,135.24
2082,2023-02-05,East,Home & Garden,7,156.12,107.99
1030,2023-02-06,North,Books,4,23.56,16.94
1543,2023-02-06,South,Books,11,56.48,41.59
2573,2023-02-06,West,Home & Garden,4,112.85,66.2
1042,2023-02-07,North,Books,3,9.23,5.83
1548,2023-02-07,South,Apparel,1,11.46,7.25
1575,2023-02-07,South,Electronics,6,433.62,262.97
2055,2023-02-07,East,Apparel,9,182.39,118.21
2078,2023-02-07,East,Electronics,10,689.94,438.09
2092,2023-02-07,East,Home & Garden,7,283.97,204.64
2102,2023-02-07,East,Apparel,10,174.53,120.61
1574,2023-02-08,South,Sports,12,55.59,31.99
2074,2023-02-08,East,Home & Garden,12,252.1,169.1
1059,2023-02-09,North,Books,11,72.4,43.34
1526,2023-02-10,South,Sports,7,187.56,110.21
1555,2023-02-10,South,Electronics,5,215.94,131.82
2067,2023-02-11,East,Books,3,13.79,9.15
1584,2023-02-12,South,Sports,6,37.77,26.27
1020,2023-02-13,North,Electronics,4,139.72,78.95
1554,2023-02-13,South,Sports,11,142.46,87.14
1594,2023-02-13,South,Apparel,6,76.91,49.16
1003,2023-02-14,North,Books,5,22.7,16.25
1567,2023-02-14,South,Sports,8,213.24,147.74
2056,2023-02-14,East,Books,5,24.94,16.3
1034,2023-02-15,North,Books,7,22.38,13.1
1528,2023-02-15,South,Electronics,12,795.47,499.15
2080,2023-02-15,East,Apparel,8,130.3,77.16
2103,2023-02-15,East,Apparel,8,205.47,124.0
2615,2023-02-15,West,Apparel,9,94.02,53.63
1566,2023-02-16,South,Sports,3,102.42,66.07
2611,2023-02-17,West,Home & Garden,9,345.45,216.06
1005,2023-02-18,North,Home & Garden,8,136.97,93.09
1064,2023-02-18,North,Home & Garden,1,17.3,11.58
2059,2023-02-18,East,Electronics,5,541.07,326.3
2598,2023-02-18,West,Electronics,9,805.15,535.65
2600,2023-02-18,West,Sports,1,9.74,6.09
1589,2023-02-19,South,Apparel,11,160.11,112.25
1591,2023-02-19,South,Sports,5,218.79,162.42
2610,2023-02-19,West,Apparel,6,85.0,59.01
2605,2023-02-20,West,Home & Garden,9,224.67,162.07
1009,2023-02-21,North,Home & Garden,4,67.02,39.01
1016,2023-02-21,North,Home & Garden,8,94.35,63.0
1035,2023-02-22,North,Electronics,3,230.09,138.83
2612,2023-02-22,West,Home & Garden,5,123.68,70.72
1579,2023-02-23,South,Sports,12,293.39,182.21
1067,2023-02-24,North,Books,6,39.15,27.35
1531,2023-02-24,South,Sports,1,20.65,13.57
2594,2023-02-24,West,Sports,4,42.99,27.27
1039,2023-02-25,North,Home & Garden,12,357.85,199.99
1040,2023-02-25,North,Electronics,9,721.72,407.05
1062,2023-02-25,North,Apparel,12,168.3,120.36
2099,2023-02-25,East,Sports,9,478.83,305.16
2609,2023-02-25,West,Apparel,2,41.69,31.12
2048,2023-02-26,East,Home & Garden,6,199.64,133.52
1537,2023-02-27,South,Home & Garden,2,52.61,32.94
1539,2023-02-27,South,Home & Garden,11,302.28,196.34
